dataset,seed,method,k,train,test
CUB-200,2,MSDA,900,0.9145812479145813,0.8917846047635485
CUB-200,2,MSDA,1000,0.9144144144144144,0.8904038660683465
CUB-200,2,Optimized,50,0.9492826159492826,0.8962720055229548
CUB-200,2,Optimized,100,0.9482816149482817,0.9028305143251639
CUB-200,2,Optimized,200,0.9454454454454454,0.9024853296513635
CUB-200,2,Optimized,300,0.9422756089422756,0.9028305143251639
CUB-200,2,Optimized,500,0.9371037704371038,0.9009319986192613
CUB-200,2,Optimized,700,0.9322655989322656,0.8978253365550569
CUB-200,2,Optimized,900,0.9247580914247581,0.8950638591646531
CUB-200,2,Optimized,1000,0.9174174174174174,0.890749050742147
CUB-200,3,Simple,50,0.9055722389055723,0.8605453917846048
CUB-200,3,Simple,100,0.9175842509175842,0.8715913013462202
CUB-200,3,Simple,200,0.9215882549215882,0.8836727649292372
CUB-200,3,Simple,300,0.9234234234234234,0.8886779426993442
CUB-200,3,Simple,500,0.9184184184184184,0.8900586813945461
CUB-200,3,Simple,700,0.9172505839172506,0.8895409043838454
CUB-200,3,Simple,900,0.9159159159159159,0.8891957197100449
CUB-200,3,Simple,1000,0.914914914914915,0.8885053503624439
CUB-200,3,FAIR,50,0.9197530864197531,0.8631342768381084
CUB-200,3,FAIR,100,0.9219219219219219,0.8788401794960303
CUB-200,3,FAIR,200,0.924924924924925,0.8848809112875389
CUB-200,3,FAIR,300,0.924924924924925,0.8867794269934415
CUB-200,3,FAIR,500,0.9195862529195863,0.8888505350362443
CUB-200,3,FAIR,700,0.9177510844177511,0.8904038660683465
CUB-200,3,FAIR,900,0.9159159159159159,0.8891957197100449
CUB-200,3,FAIR,1000,0.9155822489155823,0.8888505350362443
CUB-200,3,MSDA,50,0.8922255588922255,0.855712806351398
CUB-200,3,MSDA,100,0.9097430764097431,0.8779772178115292
CUB-200,3,MSDA,200,0.9142475809142476,0.886434242319641
CUB-200,3,MSDA,300,0.9155822489155823,0.8878149810148429
CUB-200,3,MSDA,500,0.9137470804137471,0.891439420089748
CUB-200,3,MSDA,700,0.915749082415749,0.8904038660683465
CUB-200,3,MSDA,900,0.9159159159159159,0.8898860890576459
CUB-200,3,MSDA,1000,0.914914914914915,0.8898860890576459
CUB-200,3,Optimized,50,0.9496162829496163,0.891439420089748
